Year	Mean_OccupSuit	Std_error
0	0.000229885	3.51938e-05
10	0.000977011	0.000123597
20	0.00158046	0.000187333
30	0.0029023	0.000394527
40	0.00422414	0.000538745
50	0.00617816	0.000690553
60	0.00833333	0.00116015
70	0.0108333	0.00145647
80	0.0133908	0.00211914
90	0.0161782	0.00256923
100	0.018592	0.00298443
110	0.0216092	0.00349454
120	0.0246839	0.00395869
130	0.0271552	0.0043416
140	0.0297126	0.00472533
150	0.0325862	0.0053047
160	0.0348851	0.00553066
170	0.0374138	0.00637818
180	0.0396839	0.00699395
190	0.0419828	0.00770099
200	0.044454	0.00846368
