Rep	Year	RepSeason	NInds	NInd_stage1	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	1600	1600	926	2	0.000287356	162492	378492	8.22259e+06	8.81459e+06
0	10	0	1783	1783	1110	10	0.00143678	154492	378492	8.21459e+06	8.82259e+06
0	20	0	4652	4652	3348	14	0.00201149	154492	378492	8.21459e+06	8.83059e+06
0	30	0	9773	9773	6364	30	0.00431034	146492	386492	8.19859e+06	8.83059e+06
0	40	0	15934	15934	10361	38	0.00545977	146492	386492	8.19059e+06	8.83059e+06
0	50	0	24069	24069	15206	53	0.00761494	138492	386492	8.19059e+06	8.83859e+06
0	60	0	33713	33713	21531	72	0.0103448	130492	386492	8.19059e+06	8.84659e+06
0	70	0	47844	47844	30291	92	0.0132184	130492	386492	8.18259e+06	8.84659e+06
0	80	0	64829	64829	40809	116	0.0166667	122492	386492	8.18259e+06	8.84659e+06
0	90	0	82452	82452	51217	146	0.020977	114492	386492	8.17459e+06	8.85459e+06
0	100	0	104084	104084	64538	169	0.0242816	114492	386492	8.17459e+06	8.85459e+06
0	110	0	125035	125035	77708	195	0.0280172	106492	386492	8.15859e+06	8.86259e+06
0	120	0	146667	146667	90180	228	0.0327586	90492.2	386492	8.15059e+06	8.87059e+06
0	130	0	168248	168248	103580	257	0.0369253	90492.2	386492	8.15059e+06	8.87059e+06
0	140	0	195311	195311	118935	285	0.0409483	90492.2	386492	8.14259e+06	8.87859e+06
0	150	0	217540	217540	132887	323	0.046408	74492.2	386492	8.14259e+06	8.87859e+06
0	160	0	241964	241964	148959	348	0.05	74492.2	394492	8.14259e+06	8.89459e+06
0	170	0	268920	268920	162677	389	0.0558908	74492.2	394492	8.13459e+06	8.89459e+06
0	180	0	294895	294895	180960	429	0.0616379	66492.2	402492	8.12659e+06	8.89459e+06
0	190	0	327943	327943	200440	462	0.0663793	58492.2	402492	8.12659e+06	8.89459e+06
0	200	0	358847	358847	0	501	0.0719828	58492.2	410492	8.11859e+06	8.89459e+06
1	0	0	1600	1600	925	2	0.000287356	394492	666492	7.77459e+06	8.10259e+06
1	10	0	1894	1894	1269	7	0.00100575	386492	674492	7.76659e+06	8.11059e+06
1	20	0	3424	3424	2333	13	0.00186782	386492	674492	7.76659e+06	8.11059e+06
1	30	0	7079	7079	4616	20	0.00287356	386492	674492	7.75859e+06	8.11859e+06
1	40	0	12464	12464	8358	29	0.00416667	378492	682492	7.75859e+06	8.11859e+06
1	50	0	20530	20530	12857	47	0.00675287	378492	690492	7.74259e+06	8.12659e+06
1	60	0	30598	30598	19569	59	0.00847701	378492	690492	7.75059e+06	8.12659e+06
1	70	0	41772	41772	25995	74	0.0106322	378492	706492	7.74259e+06	8.13459e+06
1	80	0	53319	53319	33219	88	0.0126437	362492	706492	7.74259e+06	8.14259e+06
1	90	0	64903	64903	40519	104	0.0149425	362492	714492	7.73459e+06	8.14259e+06
1	100	0	75827	75827	46702	120	0.0172414	362492	714492	7.73459e+06	8.14259e+06
1	110	0	90105	90105	56133	145	0.0208333	362492	722492	7.71059e+06	8.15059e+06
1	120	0	104964	104964	65160	173	0.0248563	354492	730492	7.71059e+06	8.15859e+06
1	130	0	123963	123963	76503	193	0.0277299	354492	730492	7.71059e+06	8.16659e+06
1	140	0	142909	142909	88189	218	0.0313218	354492	730492	7.70259e+06	8.16659e+06
1	150	0	163413	163413	100664	246	0.0353448	354492	730492	7.68659e+06	8.17459e+06
1	160	0	182460	182460	112112	266	0.0382184	346492	730492	7.68659e+06	8.18259e+06
1	170	0	203850	203850	123666	286	0.041092	346492	738492	7.67859e+06	8.18259e+06
1	180	0	220312	220312	134753	300	0.0431034	338492	738492	7.67859e+06	8.18259e+06
1	190	0	236274	236274	143804	324	0.0465517	338492	738492	7.67059e+06	8.19059e+06
1	200	0	250221	250221	0	346	0.0497126	330492	738492	7.67059e+06	8.19859e+06
2	0	0	800	800	483	1	0.000143678	338492	346492	8.18259e+06	8.19059e+06
2	10	0	937	937	650	6	0.000862069	330492	354492	8.17459e+06	8.19859e+06
2	20	0	2728	2728	1932	7	0.00100575	330492	354492	8.17459e+06	8.19859e+06
2	30	0	5006	5006	3157	15	0.00215517	322492	362492	8.16659e+06	8.20659e+06
2	40	0	7665	7665	5003	18	0.00258621	314492	362492	8.16659e+06	8.20659e+06
2	50	0	12491	12491	7931	31	0.00445402	314492	362492	8.15059e+06	8.21459e+06
2	60	0	19442	19442	12783	37	0.00531609	314492	370492	8.15059e+06	8.22259e+06
2	70	0	27922	27922	17587	53	0.00761494	314492	378492	8.15059e+06	8.22259e+06
2	80	0	37417	37417	23547	62	0.00890805	314492	378492	8.14259e+06	8.23059e+06
2	90	0	45423	45423	28000	73	0.0104885	314492	386492	8.14259e+06	8.23859e+06
2	100	0	53175	53175	33098	85	0.0122126	314492	386492	8.13459e+06	8.24659e+06
2	110	0	62061	62061	38439	95	0.0136494	314492	394492	8.13459e+06	8.24659e+06
2	120	0	71335	71335	43806	109	0.0156609	314492	394492	8.11859e+06	8.25459e+06
2	130	0	79455	79455	48234	118	0.016954	314492	402492	8.11859e+06	8.26259e+06
2	140	0	88769	88769	54141	127	0.0182471	314492	402492	8.11859e+06	8.26259e+06
2	150	0	97544	97544	59281	137	0.0196839	314492	410492	8.11059e+06	8.27059e+06
2	160	0	104536	104536	63563	147	0.0211207	314492	410492	8.11059e+06	8.27859e+06
2	170	0	111939	111939	68560	151	0.0216954	314492	410492	8.10259e+06	8.27859e+06
2	180	0	118370	118370	72142	161	0.0231322	306492	418492	8.09459e+06	8.28659e+06
2	190	0	125222	125222	75913	166	0.0238506	306492	418492	8.09459e+06	8.29459e+06
2	200	0	132067	132067	0	174	0.025	306492	426492	8.08659e+06	8.29459e+06
3	0	0	1600	1600	993	2	0.000287356	322492	346492	8.19059e+06	8.32659e+06
3	10	0	1692	1692	1113	6	0.000862069	322492	354492	8.18259e+06	8.32659e+06
3	20	0	3476	3476	2423	12	0.00172414	322492	354492	8.18259e+06	8.33459e+06
3	30	0	7613	7613	4954	21	0.00301724	314492	362492	8.16659e+06	8.33459e+06
